movie_id,title,tagline
19995,Avatar,"22nd centuri , parapleg marin dispatch moon pandora uniqu mission , becom torn follow order protect alien civilization.act adventur fantasi scienc fictionsam worthington zoe saldana sigourney weaverj e c e r n"
285,Pirates of the Caribbean: At World's End,"captain barbossa , long believ dead , come back life head edg earth turner elizabeth swann . noth quit seems.adventur fantasi actionjohnni depp orlando bloom keira knightleyg r e v e r b n k"
206647,Spectre,"cryptic messag bond ’ past send trail uncov sinist organ . battl polit forc keep secret servic aliv , bond peel back layer deceit reveal terribl truth behind spectre.act adventur crimedaniel craig christoph waltz léa seydoux e n e"
49026,The Dark Knight Rises,"follow death district attorney harvey dent , batman assum respons dent 's crime protect late attorney 's reput subsequ hunt gotham citi polic depart . eight year later , batman encount mysteri selina kyle villain bane , new terrorist leader overwhelm gotham 's finest . dark knight resurfac protect citi brand enemy.act crime drama thrillerchristian bale michael cain gari oldmanc h r p h e r n l n"
49529,John Carter,"john carter war-weari , former militari captain 's inexplic transport mysteri exot planet barsoom ( mar ) reluctantli becom embroil epic conflict . 's world brink collaps , carter rediscov human realiz surviv barsoom peopl rest hands.act adventur scienc fictiontaylor kitsch lynn collin samantha mortona n r e w n n"
559,Spider-Man 3,"seemingli invinc spider-man goe all-new crop villain – includ shape-shift sandman . spider-man ’ superpow alter alien organ , alter ego , peter parker , deal nemesi eddi brock also get caught love triangle.fantasi action adventuretobey maguir kirsten dunst jame franco r"
38757,Tangled,"kingdom 's wanted-and charming-bandit flynn rider hide mysteri tower , 's taken hostag rapunzel , beauti feisti tower-bound teen 70 feet magic , golden hair . flynn 's curiou captor , 's look ticket tower 's lock away year , strike deal handsom thief unlik duo set action-pack escapad , complet super-cop hors , over-protect chameleon gruff gang pub thugs.anim familyzachari levi mandi moor donna murphyb r n h w r"
99861,Avengers: Age of Ultron,"toni stark tri jumpstart dormant peacekeep program , thing go awri earth ’ mightiest hero put ultim test fate planet hang balanc . villain ultron emerg , aveng stop enact terribl plan , soon uneasi allianc unexpect action pave way epic uniqu global adventure.act adventur scienc fictionrobert downey jr. chri hemsworth mark ruffaloj w h e n"
767,Harry Potter and the Half-Blood Prince,"harri begin sixth year hogwart , discov old book mark 'properti half-blood princ ' , begin learn lord voldemort 's dark past.adventur fantasi familydaniel radcliff rupert grint emma watsond v e"
209112,Batman v Superman: Dawn of Justice,"fear action god-lik super hero left uncheck , gotham citi ’ formid , forc vigilant take metropoli ’ rever , modern-day savior , world wrestl sort hero realli need . batman superman war one anoth , new threat quickli aris , put mankind greater danger ’ ever known before.act adventur fantasyben affleck henri cavil gal gadotz c k n e r"
10764,Quantum of Solace,"quantum solac continu adventur jame bond casino royal . betray vesper , woman love , 007 fight urg make latest mission person . pursu determin uncov truth , bond interrog mr. white , reveal organ blackmail vesper far complex danger anyon imagined.adventur action thriller crimedaniel craig olga kurylenko mathieu amalricm r c f r e r"
58,Pirates of the Caribbean: Dead Man's Chest,"captain jack sparrow work way blood debt ghostli davey jone , also attempt avoid etern damnation.adventur fantasi actionjohnni depp orlando bloom keira knightleyg r e v e r b n k"
57201,The Lone Ranger,"texa ranger chase gang outlaw led butch cavendish , gang ambush ranger , seemingli kill . one survivor found , howev , american indian name tonto , nurs back health . ranger , don mask ride white stallion name silver , team tonto bring unscrupul gang other ilk justice.act adventur westernjohnni depp armi hammer william fichtnerg r e v e r b n k"
49521,Man of Steel,"young boy learn extraordinari power earth . young man , journey discov came sent . hero must emerg save world annihil becom symbol hope mankind.act adventur fantasi scienc fictionhenri cavil ami adam michael shannonz c k n e r"
24428,The Avengers,"unexpect enemi emerg threaten global safeti secur , nick furi , director intern peacekeep agenc known s.h.i.e.l.d. , find need team pull world back brink disast . span globe , dare recruit effort begin ! scienc fiction action adventurerobert downey jr. chri evan mark ruffaloj w h e n"
1865,Pirates of the Caribbean: On Stranger Tides,"captain jack sparrow cross path woman past , 's sure 's love -- 's ruthless con artist 's use find fabl fountain youth . forc aboard queen ann 's reveng , ship formid pirat blackbeard , jack find unexpect adventur n't know fear : blackbeard woman past.adventur action fantasyjohnni depp penélop cruz ian mcshaner b r h l l"
41154,Men in Black 3,"agent j ( smith ) k ( tommi lee jone ) back ... time . j seen inexplic thing 15 year men black , noth , even alien , perplex much wri , retic partner . k 's life fate planet put stake , agent j travel back time put thing right . j discov secret univers k never told - secret reveal team young agent k ( josh brolin ) save partner , agenc , futur humankind.act comedi scienc fictionwil smith tommi lee jone josh brolinb r r n n e n f e l"
122917,The Hobbit: The Battle of the Five Armies,"immedi event desol smaug , bilbo dwarv tri defend erebor 's mountain treasur other claim : men ruin laketown elv mirkwood . meanwhil armi orc led azog defil march erebor , fuel rise dark lord sauron . dwarv , elv men must unit , hope middle-earth fall bilbo 's hands.act adventur fantasymartin freeman ian mckellen richard armitagep e e r j c k n"
1930,The Amazing Spider-Man,"peter parker outcast high schooler abandon parent boy , leav rais uncl ben aunt may . like teenag , peter tri figur got person today . peter discov mysteri briefcas belong father , begin quest understand parent ' disappear – lead directli oscorp lab dr. curt connor , father 's former partner . spider-man set collis cours connor ' alter ego , lizard , peter make life-alt choic use power shape destini becom hero.act adventur fantasyandrew garfield emma stone rhi ifansm r c w e b b"
20662,Robin Hood,"soldier robin happen upon die robert loxley , promis return man 's sword famili nottingham . , assum robert 's ident ; romanc widow , marion ; draw ire town 's sheriff king john 's henchman , godfrey.act adventurerussel crow cate blanchett max von sydowr l e c"
57158,The Hobbit: The Desolation of Smaug,"dwarv , bilbo gandalf success escap misti mountain , bilbo gain one ring . continu journey get gold back dragon , smaug.adventur fantasymartin freeman ian mckellen richard armitagep e e r j c k n"
2268,The Golden Compass,"overhear shock secret , precoci orphan lyra belacqua trade carefre exist roam hall jordan colleg otherworldli adventur far north , unawar 's part destiny.adventur fantasydakota blue richard nicol kidman daniel craigc h r w e z"
597,Titanic,"84 year later , 101-year-old woman name rose dewitt bukat tell stori granddaught lizzi calvert , brock lovett , lewi bodin , bobbi buell anatoli mikailavich keldysh life set april 10th 1912 , ship call titan young rose board depart ship upper-class passeng mother , ruth dewitt bukat , fiancé , caledon hockley . meanwhil , drifter artist name jack dawson best friend fabrizio de rossi win third-class ticket ship game . explain whole stori departur death titan first last voyag april 15th , 1912 2:20 morning.drama romanc thrillerk winslet leonardo dicaprio franc fisherj e c e r n"
271110,Captain America: Civil War,"follow event age ultron , collect govern world pass act design regul superhuman activ . polar opinion amongst aveng , caus two faction side iron man captain america , caus epic battl former allies.adventur action scienc fictionchri evan robert downey jr. scarlett johanssona n h n r u"
135397,Jurassic World,"twenty-two year event jurass park , isla nublar featur fulli function dinosaur theme park , jurass world , origin envis john hammond.act adventur scienc fiction thrillerchri pratt bryce dalla howard irrfan khanc l n r e v r r w"
37724,Skyfall,"bond 's latest assign goe grave wrong agent around world expos , mi6 attack forc reloc agenc . event caus author posit challeng gareth mallori , new chairman intellig secur committe . mi6 compromis insid , left one alli trust : bond . 007 take shadow - aid field agent , eve - follow trail mysteri silva , whose lethal hidden motiv yet reveal themselves.act adventur thrillerdaniel craig judi dench javier bardem e n e"
